product_id,product_name,category,subcategory,units_sold,revenue,cost,avg_discount,orders,profit,margin_pct
PROD0001,Laptop Basic,Electronics,Laptop,396,74293.56,50652.36,0.05967741935483871,124,23641.199999999997,31.821331485528486
PROD0002,Tablet Ultra,Electronics,Tablet,463,334302.1,226893.15,0.05787671232876713,146,107408.94999999998,32.129307593341466
PROD0003,Headphones Plus,Electronics,Headphones,471,430396.35,158463.24,0.054601226993865035,163,271933.11,63.182020479495236
PROD0004,Smartwatch Plus,Electronics,Smartwatch,399,489699.93,273598.29000000004,0.058333333333333334,144,216101.63999999996,44.12939981429035
PROD0005,Camera Elite,Electronics,Camera,419,503807.01,278316.56,0.06111111111111111,135,225490.45,44.757306969587425
PROD0006,Speaker Basic,Electronics,Speaker,394,372420.69,132624.34,0.052290076335877865,131,239796.35,64.38856820763637
PROD0007,Monitor Basic,Electronics,Monitor,428,320743.62,221879.48,0.051470588235294115,136,98864.13999999998,30.823415910813743
PROD0008,T-Shirt Elite,Clothing,T-Shirt,415,365744.6,234454.25,0.06862068965517241,145,131290.34999999998,35.896729575775005
PROD0009,Jeans Elite,Clothing,Jeans,401,298500.4,104608.87,0.05780141843971631,141,193891.53000000003,64.95519939001757
PROD0010,Jacket Basic,Clothing,Jacket,326,513538.48,208310.74,0.05765765765765766,111,305227.74,59.43619648521762
PROD0011,Dress Basic,Clothing,Dress,366,133207.74,72574.14,0.0584,125,60633.59999999999,45.51807575145408
PROD0012,Sneakers Basic,Clothing,Sneakers,441,1070965.84,335989.08,0.05714285714285715,147,734976.76,68.62746994806108
PROD0013,Boots Ultra,Clothing,Boots,432,292703.85,169430.4,0.06214285714285715,140,123273.44999999998,42.115418024054
PROD0014,Hoodie Ultra,Clothing,Hoodie,411,38150.63,20389.71,0.06086956521739131,138,17760.92,46.554722687410404
PROD0015,Shorts Pro,Clothing,Shorts,444,58508.35,41411.88,0.06145833333333333,144,17096.47,29.220564244248898
PROD0016,Sofa Plus,Home & Garden,Sofa,400,195491.11,133580.0,0.05534351145038168,131,61911.109999999986,31.66952706954295
PROD0017,Lamp Elite,Home & Garden,Lamp,391,370685.55,176599.06,0.04923664122137405,131,194086.49,52.35879575019852
PROD0018,Blender Elite,Home & Garden,Blender,436,211862.08000000002,92549.72,0.056291390728476824,151,119312.36000000002,56.31605240541394
PROD0019,Coffee Maker Elite,Home & Garden,Coffee Maker,360,673226.46,222148.80000000002,0.054878048780487805,123,451077.6599999999,67.00236648452587
PROD0020,Rug Plus,Home & Garden,Rug,417,714351.12,258248.1,0.05590277777777778,144,456103.02,63.84857631356412
PROD0021,Curtains Elite,Home & Garden,Curtains,495,339245.52999999997,183813.3,0.059493670886075954,158,155432.22999999998,45.81703110428603
PROD0022,Plant Pot Basic,Home & Garden,Plant Pot,388,12557.79,9075.32,0.059689922480620154,129,3482.470000000001,27.73155149114614
PROD0023,Bookshelf Pro,Home & Garden,Bookshelf,446,837661.86,285212.54,0.05680272108843537,147,552449.3200000001,65.95135177815068
PROD0024,Yoga Mat Pro,Sports,Yoga Mat,408,15306.98,7295.04,0.05390070921985816,141,8011.94,52.34174213332741
PROD0025,Dumbbell Set Elite,Sports,Dumbbell Set,437,266434.96,115813.73999999999,0.05785714285714286,140,150621.22000000003,56.532078222767765
PROD0026,Running Shoes Ultra,Sports,Running Shoes,423,584429.41,249092.00999999998,0.06366906474820144,139,335337.4,57.378597699249944
PROD0027,Cycling Helmet Pro,Sports,Cycling Helmet,485,921221.47,310341.8,0.05797546012269939,163,610879.6699999999,66.31192279962819
PROD0028,Tennis Racket Pro,Sports,Tennis Racket,398,320561.15,207712.22,0.05748031496062992,127,112848.93000000002,35.203557885913504
PROD0029,Football Plus,Sports,Football,425,200079.92,95671.75,0.06619718309859156,142,104408.17000000001,52.18323258026093
PROD0030,Backpack Ultra,Sports,Backpack,465,457219.81,241813.94999999998,0.052795031055900624,161,215405.86000000002,47.112101288874605
PROD0031,Water Bottle Basic,Sports,Water Bottle,442,1039401.68,335504.51999999996,0.04726027397260274,146,703897.1600000001,67.72137986153727
PROD0032,Moisturizer Plus,Beauty,Moisturizer,413,323574.57,274000.72000000003,0.05314685314685315,143,49573.84999999998,15.320687902018992
PROD0033,Perfume Elite,Beauty,Perfume,390,645223.33,267220.2,0.05076335877862596,131,378003.12999999995,58.58485154279837
PROD0034,Lipstick Elite,Beauty,Lipstick,368,174091.24000000002,60447.67999999999,0.06703703703703705,135,113643.56000000003,65.27816103785578
PROD0035,Foundation Plus,Beauty,Foundation,390,278561.36,180804.0,0.051094890510948905,137,97757.35999999999,35.09365405166028
PROD0036,Shampoo Pro,Beauty,Shampoo,379,23831.350000000002,9797.15,0.0572992700729927,137,14034.200000000003,58.88965585248004
PROD0037,Face Mask Elite,Beauty,Face Mask,448,634234.18,342254.08,0.05034246575342466,146,291980.10000000003,46.036639021883055
PROD0038,Eye Cream Elite,Beauty,Eye Cream,443,108415.09999999999,73250.05,0.05880281690140845,142,35165.04999999999,32.43556478756187
PROD0039,Sunscreen Basic,Beauty,Sunscreen,373,274288.23,230890.73,0.05970149253731343,134,43397.49999999997,15.82186009221029
PROD0040,Smartphone Plus,Electronics,Smartphone,372,27894.74,9378.12,0.07049180327868852,122,18516.620000000003,66.38032833430246
PROD0041,Laptop Basic,Electronics,Laptop,470,237337.55,151504.5,0.06363636363636364,154,85833.04999999999,36.16496841734483
PROD0042,Tablet Ultra,Electronics,Tablet,440,762235.21,341242.0,0.05709677419354838,155,420993.20999999996,55.23140422757432
PROD0043,Headphones Basic,Electronics,Headphones,382,322448.81,231683.0,0.05793650793650794,126,90765.81,28.148905247936874
PROD0044,Smartwatch Plus,Electronics,Smartwatch,399,642854.71,317727.69,0.06145833333333333,144,325127.01999999996,50.575505622413495
PROD0045,Camera Basic,Electronics,Camera,488,420096.44,187875.12,0.0578125,160,232221.32,55.278097572071786
PROD0046,Speaker Pro,Electronics,Speaker,370,401732.59,125396.7,0.058196721311475415,122,276335.89,68.78602754135531
