customer_id,recency,frequency,monetary,R,F,M,rfm_score,rfm_total,segment,cluster,pca1,pca2
CUST00001,11,3,28978.370000000003,5,1,3,513,9,Recent Customers,1,-0.34287627416755184,-0.9202415826201636
CUST00002,6,6,36001.299999999996,5,4,4,544,13,Champions,3,0.846756011492481,-0.534202821342745
CUST00003,280,2,5258.46,1,1,1,111,3,Lost Customers,4,-2.3446699072272033,0.49371073073724053
CUST00004,85,5,40697.96,3,3,4,334,10,Loyal Customers,3,0.4928984384810255,0.030036624062472785
CUST00005,31,3,12014.68,4,1,1,411,6,Recent Customers,1,-1.0521682404423078,-1.0914691249553143
CUST00006,556,3,17987.96,1,1,2,112,4,Lost Customers,2,-2.3654954867129327,2.8327218351069616
CUST00007,27,7,56143.159999999996,4,4,5,445,13,Champions,0,1.8593471425091308,0.09118486862370001
CUST00008,64,5,49717.75,3,3,5,335,11,Loyal Customers,3,0.9004907022661929,0.045800061118045944
CUST00009,386,4,33475.270000000004,1,2,4,124,7,About To Sleep,4,-0.9702621904400084,1.984158123914017
CUST00010,62,6,40749.86,3,4,4,344,11,Loyal Customers,3,0.8643346736268426,-0.03891981929892872
CUST00011,34,5,35669.03,4,3,4,434,11,Loyal Customers,3,0.4498785045746134,-0.4341650366755338
CUST00012,89,5,52016.78,3,3,5,335,11,Loyal Customers,3,0.9152079813733648,0.27025053392242354
CUST00013,179,8,28244.99,2,5,3,253,10,At Risk,3,0.6448053566699655,0.7717085300554701
CUST00014,271,4,26440.170000000002,1,2,3,123,6,About To Sleep,4,-0.9021907655334396,1.017736502877905
CUST00015,372,5,34741.37,1,3,4,134,8,About To Sleep,4,-0.578704106727858,2.003215328199643
CUST00016,16,4,13965.01,5,2,1,521,8,Recent Customers,1,-0.63143298710936,-1.066909285305646
CUST00017,202,5,33955.21,1,3,4,134,8,About To Sleep,4,-0.10941029775934057,0.7539428949354966
CUST00018,32,5,30883.06,4,3,3,433,10,Loyal Customers,3,0.2722189511161301,-0.53797705980131
CUST00019,117,2,17176.75,2,1,2,212,5,Needs Attention,1,-1.408743239728576,-0.4677102624142686
CUST00020,110,4,26532.34,2,2,3,223,7,About To Sleep,1,-0.4256552587422278,-0.14978828698114902
CUST00021,32,7,31344.91,4,4,3,443,11,Loyal Customers,3,0.8936790260815427,-0.33514034642643303
CUST00022,18,6,29625.22,4,4,3,443,11,Loyal Customers,3,0.5669874207874298,-0.566006581768077
CUST00023,20,6,55768.64,4,4,5,445,13,Champions,0,1.563675692201479,-0.06374911160347732
CUST00024,88,10,103892.23999999999,3,5,5,355,13,Loyal Customers,0,4.4168700515405375,1.716329870048996
CUST00025,42,5,36292.49,3,3,4,334,10,Loyal Customers,3,0.45028418369121787,-0.36443464531403297
CUST00026,51,5,33655.96,3,3,4,334,10,Loyal Customers,3,0.3227358536972347,-0.3482603715752111
CUST00027,61,7,54104.24,3,4,5,345,12,Loyal Customers,0,1.6812689838775299,0.3000678551486953
CUST00028,26,10,60682.63,4,5,5,455,14,Champions,0,2.9419905907181687,0.45994164840910506
CUST00029,181,3,15394.52,2,1,2,212,5,Needs Attention,4,-1.3632401250796844,0.060943365555530114
CUST00030,50,3,24197.620000000003,3,1,3,313,7,Potential Loyalists,1,-0.6407892968820321,-0.7261983516463423
CUST00031,8,5,29334.54,5,3,3,533,11,Loyal Customers,3,0.2833448003544241,-0.7411636007679115
CUST00032,54,7,45155.22,3,4,5,345,12,Loyal Customers,0,1.3586516804943067,0.08227786830754037
CUST00033,25,5,39566.84,4,3,4,434,11,Loyal Customers,3,0.6257951810417474,-0.4268088199559382
CUST00034,41,4,18695.44,4,2,2,422,8,Recent Customers,1,-0.523474875185669,-0.7970985162144836
CUST00035,39,5,16084.04,4,3,2,432,9,Loyal Customers,1,-0.31586828912160775,-0.763231463282776
CUST00036,187,3,14469.59,1,1,1,111,3,Lost Customers,4,-1.4163372767473403,0.08726215661438902
CUST00037,137,1,6032.469999999999,2,1,1,211,4,Needs Attention,1,-2.1967432503055933,-0.6274808680938024
CUST00038,123,3,24552.949999999997,2,1,3,213,6,Needs Attention,1,-0.8416291351917873,-0.18941504528609523
CUST00039,183,4,28737.58,1,2,3,123,6,About To Sleep,4,-0.5555536028364663,0.4215070148154254
CUST00040,5,12,69902.87,5,5,5,555,15,Champions,0,3.961018600399801,0.6736651099157395
CUST00041,84,5,14676.74,3,3,1,331,7,Loyal Customers,1,-0.5020415255413073,-0.46267869091975494
CUST00042,427,1,9048.66,1,1,1,111,3,Lost Customers,2,-2.9330657534212277,1.5348815421504092
CUST00043,6,3,26772.47,5,1,3,513,9,Recent Customers,1,-0.4127800239496373,-0.9977068771417932
CUST00044,100,3,10801.939999999999,2,1,1,211,4,Needs Attention,1,-1.3013898226044778,-0.6129893438953535
CUST00045,7,7,56161.16,5,4,5,545,14,Champions,0,1.9187952952400202,-0.053727063905017226
CUST00046,85,1,3534.4700000000003,3,1,1,311,5,Needs Attention,1,-2.1397676194434476,-1.051727783920672
CUST00047,44,3,15067.2,3,1,2,312,6,Needs Attention,1,-0.9733009336743514,-0.9401101571278889
CUST00048,356,5,28094.55,1,3,3,133,7,About To Sleep,4,-0.7865941739871098,1.7630137936797297
CUST00049,76,7,46042.54,3,4,5,345,12,Loyal Customers,0,1.3280455119739678,0.25860426132926606
CUST00050,41,5,34793.84,4,3,4,434,11,Loyal Customers,3,0.3957509193486511,-0.3996559071115014
CUST00051,6,6,20636.68,5,4,2,542,11,Loyal Customers,3,0.2575440493680494,-0.8208457906336315
CUST00052,75,5,29846.08,3,3,3,333,9,Loyal Customers,3,0.1061227631312961,-0.2450403567347545
CUST00053,8,4,29717.44,5,2,3,523,10,Recent Customers,3,-0.003845895924202365,-0.8311304135431037
CUST00054,201,5,37730.58,1,3,4,134,8,About To Sleep,4,0.03830782273439175,0.8171139625870822
CUST00056,106,6,36193.88,2,4,4,244,10,At Risk,3,0.5603518006624537,0.19562866515735206
CUST00057,120,3,9000.470000000001,2,1,1,211,4,Needs Attention,1,-1.4292315872886765,-0.5013498994881268
CUST00058,14,1,13975.54,5,1,1,511,7,Recent Customers,1,-1.5307765361454775,-1.37256824309864
CUST00059,380,6,28668.66,1,4,3,143,8,At Risk,4,-0.53321291871255,2.045131913047667
CUST00060,84,7,54407.9,3,4,5,345,12,Loyal Customers,0,1.6253423663732112,0.4727678507752698
CUST00061,401,6,21736.079999999998,1,4,2,142,7,At Risk,4,-0.860763560936902,2.0683075497819843
CUST00062,165,4,38773.08,2,2,4,224,8,About To Sleep,4,-0.11782394464223898,0.4780067397109151
CUST00063,67,6,28711.95,3,4,3,343,10,Loyal Customers,3,0.3880079772132133,-0.2271876175850109
CUST00064,128,5,53727.78,2,3,5,235,10,About To Sleep,3,0.8662446076004972,0.5854041142504179
CUST00065,64,5,20871.29,3,3,2,332,8,Loyal Customers,3,-0.2057312086527845,-0.4923606579840724
CUST00066,25,4,11111.6,4,2,1,421,7,Recent Customers,1,-0.7672983656437918,-1.05478113357829
CUST00067,2,8,42332.200000000004,5,5,4,554,14,Champions,0,1.7050376257166042,-0.250922423133921
CUST00068,28,3,19643.78,4,1,2,412,7,Recent Customers,1,-0.7507891077720837,-0.9709274894000836
CUST00069,137,6,60143.5,2,4,5,245,11,At Risk,0,1.3877119486933904,0.8675677390182195
CUST00070,22,4,29897.52,4,2,3,423,9,Recent Customers,3,-0.038070590880948205,-0.726097414935814
CUST00071,10,4,12179.9,5,2,1,521,8,Recent Customers,1,-0.682262127522842,-1.1437866917091783
CUST00072,27,4,19329.01,4,2,2,422,8,Recent Customers,1,-0.4580478261855076,-0.8869520276646855
CUST00073,6,5,22342.079999999998,5,3,2,532,10,Loyal Customers,3,0.021069402032355466,-0.8861399901657239
CUST00074,2,7,41046.26,5,4,4,544,13,Champions,3,1.3538492197079786,-0.37202318213566504
CUST00075,331,2,12436.529999999999,1,1,1,111,3,Lost Customers,4,-2.2192334217705345,0.9980068338384047
CUST00076,18,6,41408.61,4,4,4,444,12,Champions,3,1.018864157236324,-0.34617518353547905
CUST00077,48,4,14319.71,3,2,1,321,6,Needs Attention,1,-0.7118433360008134,-0.8278956018202059
