item_id,order_id,product_id,quantity,unit_price,discount_pct,final_price,line_total,cost_total
ITEM0000001015,ORD0000001,PROD0016,2,517.31,0.1,465.58,931.16,667.9
ITEM0000001142,ORD0000001,PROD0143,1,873.41,0.1,786.07,786.07,408.82
ITEM0000001095,ORD0000001,PROD0096,5,215.28,0.1,193.75,968.75,473.55
ITEM0000001024,ORD0000001,PROD0025,1,646.45,0.1,581.81,581.81,265.02
ITEM0000002044,ORD0000002,PROD0045,5,912.46,0.0,912.46,4562.3,1924.95
ITEM0000002048,ORD0000002,PROD0049,2,1909.55,0.0,1909.55,3819.1,1170.12
ITEM0000002127,ORD0000002,PROD0128,3,2448.56,0.0,2448.56,7345.68,2315.55
ITEM0000002046,ORD0000002,PROD0047,1,1473.13,0.0,1473.13,1473.13,670.05
ITEM0000003045,ORD0000003,PROD0046,2,1156.23,0.05,1098.42,2196.84,677.82
ITEM0000003129,ORD0000003,PROD0130,4,814.35,0.05,773.63,3094.52,1290.8
ITEM0000004074,ORD0000004,PROD0075,1,433.01,0.05,411.36,411.36,344.08
ITEM0000005086,ORD0000005,PROD0087,5,1509.16,0.0,1509.16,7545.8,2940.5
ITEM0000005116,ORD0000005,PROD0117,4,318.31,0.0,318.31,1273.24,612.08
ITEM0000006061,ORD0000006,PROD0062,4,190.5,0.1,171.45,685.8,326.56
ITEM0000007025,ORD0000007,PROD0026,5,1472.3,0.0,1472.3,7361.5,2944.35
ITEM0000007133,ORD0000007,PROD0134,5,270.81,0.0,270.81,1354.05,409.05
ITEM0000007023,ORD0000007,PROD0024,5,39.44,0.0,39.44,197.2,89.4
ITEM0000007082,ORD0000007,PROD0083,5,1403.5,0.0,1403.5,7017.5,2871.45
ITEM0000008050,ORD0000008,PROD0051,4,92.57,0.05,87.94,351.76,144.0
ITEM0000008074,ORD0000008,PROD0075,4,433.01,0.05,411.36,1645.44,1376.32
ITEM0000009099,ORD0000009,PROD0100,4,1277.87,0.0,1277.87,5111.48,2771.24
ITEM0000009078,ORD0000009,PROD0079,3,224.63,0.0,224.63,673.89,544.14
ITEM0000010146,ORD0000010,PROD0147,5,1147.03,0.05,1089.68,5448.4,2921.45
