order_id,customer_id,order_date,status,payment_method,discount_pct,shipping_cost
ORD0000001,CUST00720,2024-07-13,Delivered,Net Banking,0.1,3.87
ORD0000002,CUST00010,2024-04-08,Delivered,Net Banking,0.0,8.45
ORD0000003,CUST01787,2024-06-26,Cancelled,Net Banking,0.05,2.65
ORD0000004,CUST00063,2024-10-25,Delivered,Credit Card,0.05,12.11
ORD0000005,CUST00715,2023-08-06,Delivered,Credit Card,0.0,7.46
ORD0000006,CUST01606,2024-11-10,Cancelled,Credit Card,0.1,5.08
ORD0000007,CUST00386,2024-07-05,Delivered,UPI,0.0,12.16
ORD0000008,CUST01069,2023-10-01,Delivered,PayPal,0.05,4.8
ORD0000009,CUST00892,2023-10-04,Delivered,Credit Card,0.0,4.82
ORD0000010,CUST01579,2024-12-02,Delivered,Credit Card,0.05,2.82
ORD0000011,CUST00356,2023-11-27,Delivered,Credit Card,0.05,14.5
ORD0000012,CUST00108,2024-06-28,Delivered,Debit Card,0.05,7.63
ORD0000013,CUST01946,2023-06-26,Cancelled,Credit Card,0.1,10.71
ORD0000014,CUST00422,2022-12-30,Cancelled,Debit Card,0.0,9.89
ORD0000015,CUST00291,2023-09-22,Delivered,UPI,0.0,10.21
ORD0000016,CUST01687,2024-05-20,Delivered,Debit Card,0.1,12.25
ORD0000017,CUST00264,2024-12-23,Delivered,Credit Card,0.0,1.73
ORD0000018,CUST00584,2024-08-27,Delivered,PayPal,0.15,1.63
ORD0000019,CUST01137,2024-12-06,Delivered,Credit Card,0.0,7.03
ORD0000020,CUST01707,2024-06-22,Delivered,Credit Card,0.1,3.63
ORD0000021,CUST01576,2024-02-13,Delivered,Debit Card,0.05,11.53
ORD0000022,CUST01888,2024-05-03,Delivered,Wallet,0.0,0.85
ORD0000023,CUST00131,2024-04-30,Delivered,Wallet,0.0,10.82
ORD0000024,CUST01728,2023-08-11,Delivered,Debit Card,0.0,2.15
ORD0000025,CUST00759,2024-09-21,Delivered,Debit Card,0.0,0.09
ORD0000026,CUST01575,2024-04-20,Delivered,Wallet,0.0,0.53
ORD0000027,CUST00579,2024-08-24,Delivered,Wallet,0.1,7.36
ORD0000028,CUST01883,2024-03-17,Delivered,Debit Card,0.15,2.17
ORD0000029,CUST00754,2022-03-14,Delivered,Credit Card,0.0,6.9
ORD0000030,CUST01929,2024-06-26,Delivered,Wallet,0.05,6.78
ORD0000031,CUST01460,2023-03-26,Delivered,Wallet,0.15,9.89
ORD0000032,CUST01319,2024-08-20,Delivered,Credit Card,0.0,8.14
ORD0000033,CUST00692,2024-09-17,Cancelled,Net Banking,0.1,6.48
ORD0000034,CUST01314,2024-06-24,Delivered,Debit Card,0.1,6.17
ORD0000035,CUST01911,2024-11-03,Delivered,Credit Card,0.1,10.14
ORD0000036,CUST00642,2024-01-15,Delivered,Debit Card,0.0,4.61
ORD0000037,CUST01853,2024-05-31,Delivered,PayPal,0.1,4.55
ORD0000038,CUST01865,2024-03-27,Delivered,Wallet,0.05,7.04
ORD0000039,CUST00977,2023-09-24,Delivered,PayPal,0.05,13.96
ORD0000040,CUST01939,2024-04-02,Cancelled,PayPal,0.2,1.03
ORD0000041,CUST01878,2024-08-29,Delivered,Wallet,0.15,2.96
ORD0000042,CUST01638,2024-09-09,Delivered,UPI,0.15,14.88
ORD0000043,CUST01052,2023-10-01,Processing,Credit Card,0.15,7.34
ORD0000044,CUST00559,2024-12-26,Delivered,Net Banking,0.0,0.47
ORD0000045,CUST00796,2022-05-26,Delivered,UPI,0.0,5.03
ORD0000046,CUST01132,2023-03-07,Delivered,UPI,0.0,13.78
ORD0000047,CUST01835,2024-04-03,Delivered,Credit Card,0.0,3.64
ORD0000048,CUST01172,2023-06-29,Delivered,Credit Card,0.15,10.85
ORD0000049,CUST01610,2023-11-21,Delivered,Debit Card,0.0,2.99
ORD0000050,CUST01622,2024-04-13,Delivered,UPI,0.1,4.81
ORD0000051,CUST01447,2023-09-03,Delivered,Net Banking,0.1,12.98
ORD0000052,CUST00013,2022-06-22,Delivered,Debit Card,0.0,13.17
ORD0000053,CUST00384,2024-09-29,Delivered,UPI,0.0,9.53
ORD0000054,CUST00874,2023-10-03,Returned,Net Banking,0.1,0.1
ORD0000055,CUST01849,2022-05-30,Delivered,Credit Card,0.1,10.11
ORD0000056,CUST01166,2023-07-06,Delivered,PayPal,0.0,11.13
ORD0000057,CUST01119,2023-04-16,Delivered,Wallet,0.0,5.29
ORD0000058,CUST01780,2024-12-16,Delivered,Wallet,0.0,11.26
ORD0000059,CUST01783,2024-12-17,Delivered,UPI,0.0,11.87
ORD0000060,CUST00445,2024-01-16,Delivered,PayPal,0.05,5.06
ORD0000061,CUST00622,2024-09-14,Delivered,Net Banking,0.0,10.86
ORD0000062,CUST01970,2022-12-04,Delivered,UPI,0.0,9.12
ORD0000063,CUST01646,2024-09-20,Delivered,PayPal,0.0,9.47
ORD0000064,CUST00879,2024-05-20,Delivered,PayPal,0.0,5.12
ORD0000065,CUST01158,2024-11-30,Delivered,UPI,0.05,3.69
ORD0000066,CUST01431,2023-06-10,Cancelled,Wallet,0.2,8.58
ORD0000067,CUST01804,2023-02-06,Delivered,PayPal,0.0,1.22
ORD0000068,CUST01593,2023-10-04,Returned,Debit Card,0.0,5.46
ORD0000069,CUST01690,2024-11-08,Delivered,PayPal,0.1,7.27
ORD0000070,CUST01688,2023-06-29,Processing,Credit Card,0.05,4.43
ORD0000071,CUST01637,2024-06-20,Delivered,UPI,0.1,10.51
ORD0000072,CUST00162,2023-09-19,Delivered,Debit Card,0.15,6.7
ORD0000073,CUST00910,2024-02-12,Delivered,PayPal,0.0,2.97
ORD0000074,CUST00662,2022-02-03,Delivered,Net Banking,0.15,7.16
ORD0000075,CUST00053,2024-12-05,Delivered,PayPal,0.0,9.2
ORD0000076,CUST00115,2024-10-20,Delivered,Credit Card,0.0,13.9
ORD0000077,CUST00335,2024-05-25,Delivered,PayPal,0.0,5.07
ORD0000078,CUST00128,2024-11-04,Delivered,Wallet,0.1,2.32
ORD0000079,CUST00491,2022-08-17,Delivered,Credit Card,0.05,9.64
ORD0000080,CUST01554,2024-09-10,Cancelled,Debit Card,0.2,7.51
ORD0000081,CUST01045,2023-05-09,Delivered,Wallet,0.1,6.22
ORD0000082,CUST00074,2023-06-11,Delivered,PayPal,0.05,10.53
ORD0000083,CUST00436,2023-01-19,Delivered,Wallet,0.15,9.34
ORD0000084,CUST00796,2022-12-05,Returned,PayPal,0.1,5.02
ORD0000085,CUST00245,2024-06-21,Delivered,Net Banking,0.0,14.52
ORD0000086,CUST00086,2024-08-08,Returned,Debit Card,0.1,3.0
ORD0000087,CUST00740,2024-08-04,Delivered,Net Banking,0.05,13.35
ORD0000088,CUST01699,2024-02-26,Returned,Wallet,0.0,5.83
ORD0000089,CUST01544,2023-12-27,Cancelled,Net Banking,0.05,4.28
