product_id,product_name,category,subcategory,cost_price,selling_price,stock_qty,rating,launch_date
PROD0001,Laptop Basic,Electronics,Laptop,127.91,199.5,402,2.9,2021-09-03
PROD0002,Tablet Ultra,Electronics,Tablet,490.05,765.17,242,4.1,2024-05-10
PROD0003,Headphones Plus,Electronics,Headphones,336.44,965.88,477,3.2,2024-12-22
PROD0004,Smartwatch Plus,Electronics,Smartwatch,685.71,1301.7,156,3.3,2022-07-04
PROD0005,Camera Elite,Electronics,Camera,664.24,1278.86,217,3.9,2024-03-30
PROD0006,Speaker Basic,Electronics,Speaker,336.61,994.05,28,4.9,2022-07-04
PROD0007,Monitor Basic,Electronics,Monitor,518.41,788.94,392,3.2,2024-06-25
PROD0008,T-Shirt Elite,Clothing,T-Shirt,564.95,949.0,150,4.6,2021-02-06
PROD0009,Jeans Elite,Clothing,Jeans,260.87,787.6,285,3.9,2021-11-06
PROD0010,Jacket Basic,Clothing,Jacket,638.99,1674.4,438,3.2,2021-04-26
PROD0011,Dress Basic,Clothing,Dress,198.29,386.39,482,4.3,2022-12-31
PROD0012,Sneakers Basic,Clothing,Sneakers,761.88,2573.2,352,4.9,2024-01-03
PROD0013,Boots Ultra,Clothing,Boots,392.2,723.35,300,3.4,2021-06-07
PROD0014,Hoodie Ultra,Clothing,Hoodie,49.61,98.63,189,3.6,2022-03-18
PROD0015,Shorts Pro,Clothing,Shorts,93.27,140.73,166,4.9,2024-02-12
PROD0016,Sofa Plus,Home & Garden,Sofa,333.95,517.31,301,3.2,2021-11-07
PROD0017,Lamp Elite,Home & Garden,Lamp,451.66,997.27,293,3.9,2023-10-24
PROD0018,Blender Elite,Home & Garden,Blender,212.27,513.98,353,2.6,2024-04-14
PROD0019,Coffee Maker Elite,Home & Garden,Coffee Maker,617.08,1976.3,490,4.6,2024-11-07
PROD0020,Rug Plus,Home & Garden,Rug,619.3,1807.57,94,3.3,2021-12-20
PROD0021,Curtains Elite,Home & Garden,Curtains,371.34,730.03,130,4.0,2024-12-19
PROD0022,Plant Pot Basic,Home & Garden,Plant Pot,23.39,34.48,218,3.5,2023-01-26
PROD0023,Bookshelf Pro,Home & Garden,Bookshelf,639.49,1990.64,467,5.0,2022-08-04
PROD0024,Yoga Mat Pro,Sports,Yoga Mat,17.88,39.44,491,3.8,2024-05-25
PROD0025,Dumbbell Set Elite,Sports,Dumbbell Set,265.02,646.45,294,3.3,2021-04-15
PROD0026,Running Shoes Ultra,Sports,Running Shoes,588.87,1472.3,399,2.8,2021-09-03
PROD0027,Cycling Helmet Pro,Sports,Cycling Helmet,639.88,2013.38,293,4.8,2023-08-06
PROD0028,Tennis Racket Pro,Sports,Tennis Racket,521.89,855.4,392,4.2,2024-06-24
PROD0029,Football Plus,Sports,Football,225.11,503.79,333,3.3,2021-10-10
PROD0030,Backpack Ultra,Sports,Backpack,520.03,1030.47,399,4.2,2024-06-28
PROD0031,Water Bottle Basic,Sports,Water Bottle,759.06,2463.62,294,3.2,2023-08-27
PROD0032,Moisturizer Plus,Beauty,Moisturizer,663.44,824.92,165,3.6,2022-02-07
PROD0033,Perfume Elite,Beauty,Perfume,685.18,1743.14,272,3.6,2023-10-31
PROD0034,Lipstick Elite,Beauty,Lipstick,164.26,507.48,457,4.7,2024-09-09
PROD0035,Foundation Plus,Beauty,Foundation,463.6,757.68,105,3.3,2021-06-06
PROD0036,Shampoo Pro,Beauty,Shampoo,25.85,66.81,399,2.8,2022-06-26
PROD0037,Face Mask Elite,Beauty,Face Mask,763.96,1492.14,475,3.1,2021-11-21
PROD0038,Eye Cream Elite,Beauty,Eye Cream,165.35,260.52,119,4.8,2021-12-04
PROD0039,Sunscreen Basic,Beauty,Sunscreen,619.01,781.67,63,4.6,2022-08-06
PROD0040,Smartphone Plus,Electronics,Smartphone,25.21,80.55,194,2.6,2022-11-13
PROD0041,Laptop Basic,Electronics,Laptop,322.35,539.28,302,4.5,2021-05-25
PROD0042,Tablet Ultra,Electronics,Tablet,775.55,1834.5,370,3.8,2021-09-11
PROD0043,Headphones Basic,Electronics,Headphones,606.5,895.69,379,4.0,2024-03-10
PROD0044,Smartwatch Plus,Electronics,Smartwatch,796.31,1715.88,46,4.5,2022-07-14
PROD0045,Camera Basic,Electronics,Camera,384.99,912.46,8,2.5,2024-06-02
PROD0046,Speaker Pro,Electronics,Speaker,338.91,1156.23,181,3.4,2022-04-27
PROD0047,Monitor Elite,Electronics,Monitor,670.05,1473.13,117,5.0,2021-05-12
PROD0048,T-Shirt Basic,Clothing,T-Shirt,522.09,1599.37,8,4.9,2022-03-03
PROD0049,Jeans Pro,Clothing,Jeans,585.06,1909.55,72,4.6,2021-10-03
PROD0050,Jacket Plus,Clothing,Jacket,453.84,678.16,71,4.2,2024-03-30
PROD0051,Dress Plus,Clothing,Dress,36.0,92.57,443,4.3,2022-04-01
PROD0052,Sneakers Plus,Clothing,Sneakers,300.5,647.34,214,2.9,2024-12-25
PROD0053,Boots Plus,Clothing,Boots,417.29,646.04,186,4.7,2021-06-19
PROD0054,Hoodie Plus,Clothing,Hoodie,630.31,799.83,156,3.5,2022-08-03
PROD0055,Shorts Elite,Clothing,Shorts,727.64,1316.97,14,4.5,2022-05-31
PROD0056,Sofa Plus,Home & Garden,Sofa,27.66,63.12,467,3.5,2023-04-19
PROD0057,Lamp Ultra,Home & Garden,Lamp,304.74,785.18,86,2.9,2021-01-24
PROD0058,Blender Basic,Home & Garden,Blender,282.19,483.17,33,2.8,2023-01-09
PROD0059,Coffee Maker Ultra,Home & Garden,Coffee Maker,374.22,806.32,225,2.8,2023-07-27
PROD0060,Rug Basic,Home & Garden,Rug,648.49,779.26,240,4.7,2022-02-04
PROD0061,Curtains Elite,Home & Garden,Curtains,106.92,289.72,489,4.0,2024-01-18
PROD0062,Plant Pot Ultra,Home & Garden,Plant Pot,81.64,190.5,100,2.8,2023-03-11
PROD0063,Bookshelf Plus,Home & Garden,Bookshelf,108.2,364.34,337,2.7,2021-05-28
PROD0064,Yoga Mat Ultra,Sports,Yoga Mat,575.23,1063.77,53,3.1,2022-01-25
PROD0065,Dumbbell Set Elite,Sports,Dumbbell Set,151.78,412.32,363,4.9,2023-11-05
PROD0066,Running Shoes Elite,Sports,Running Shoes,474.67,1133.93,389,4.7,2022-05-25
PROD0067,Cycling Helmet Ultra,Sports,Cycling Helmet,340.51,926.45,377,4.8,2021-02-23
PROD0068,Tennis Racket Pro,Sports,Tennis Racket,599.61,1822.5,406,3.0,2021-10-10
PROD0069,Football Plus,Sports,Football,16.39,43.59,82,3.5,2021-01-19
PROD0070,Backpack Elite,Sports,Backpack,459.81,1063.47,96,4.1,2024-06-23
PROD0071,Water Bottle Plus,Sports,Water Bottle,776.77,1656.86,232,4.1,2023-04-28
PROD0072,Moisturizer Ultra,Beauty,Moisturizer,354.69,1033.36,473,3.3,2024-10-18
PROD0073,Perfume Basic,Beauty,Perfume,153.12,303.83,395,3.9,2023-10-28
PROD0074,Lipstick Ultra,Beauty,Lipstick,81.72,258.99,134,2.7,2022-07-22
PROD0075,Foundation Ultra,Beauty,Foundation,344.08,433.01,64,2.7,2022-12-12
PROD0076,Shampoo Elite,Beauty,Shampoo,664.91,981.83,64,4.7,2022-04-22
PROD0077,Face Mask Pro,Beauty,Face Mask,364.79,901.97,494,4.7,2023-02-24
PROD0078,Eye Cream Ultra,Beauty,Eye Cream,150.18,463.46,99,2.9,2023-11-24
PROD0079,Sunscreen Elite,Beauty,Sunscreen,181.38,224.63,269,4.0,2021-08-24
PROD0080,Smartphone Pro,Electronics,Smartphone,452.49,1095.16,409,3.8,2023-04-19
PROD0081,Laptop Ultra,Electronics,Laptop,188.19,635.8,85,3.4,2021-06-05
PROD0082,Tablet Ultra,Electronics,Tablet,545.92,1452.3,115,4.6,2024-03-12
PROD0083,Headphones Ultra,Electronics,Headphones,574.29,1403.5,217,4.6,2022-03-09
PROD0084,Smartwatch Basic,Electronics,Smartwatch,43.89,150.5,151,3.5,2023-03-22
PROD0085,Camera Basic,Electronics,Camera,777.75,2532.05,164,2.8,2024-12-28
PROD0086,Speaker Ultra,Electronics,Speaker,243.49,334.12,342,3.3,2024-12-04
PROD0087,Monitor Pro,Electronics,Monitor,588.1,1509.16,30,4.4,2021-08-06
PROD0088,T-Shirt Plus,Clothing,T-Shirt,119.31,368.86,200,4.5,2023-10-01
PROD0089,Jeans Plus,Clothing,Jeans,338.11,865.65,427,3.4,2021-12-18
PROD0090,Jacket Basic,Clothing,Jacket,770.87,1414.78,63,4.3,2023-06-30
PROD0091,Dress Basic,Clothing,Dress,755.75,1170.84,72,4.2,2024-03-27
PROD0092,Sneakers Ultra,Clothing,Sneakers,265.34,707.01,159,3.8,2024-04-13
PROD0093,Boots Basic,Clothing,Boots,504.69,1152.49,152,4.6,2023-04-21
PROD0094,Hoodie Pro,Clothing,Hoodie,595.61,1337.17,450,4.9,2024-11-15
PROD0095,Shorts Pro,Clothing,Shorts,577.41,1855.24,195,4.6,2022-02-01
PROD0096,Sofa Ultra,Home & Garden,Sofa,94.71,215.28,86,4.7,2023-12-11
PROD0097,Lamp Elite,Home & Garden,Lamp,693.08,1608.5,115,3.8,2021-05-18
PROD0098,Blender Ultra,Home & Garden,Blender,798.1,2065.19,442,3.4,2024-09-12
PROD0099,Coffee Maker Basic,Home & Garden,Coffee Maker,680.72,1591.13,215,2.6,2021-06-13
PROD0100,Rug Elite,Home & Garden,Rug,692.81,1277.87,463,3.1,2023-02-28
PROD0101,Curtains Elite,Home & Garden,Curtains,266.42,728.41,182,2.7,2021-06-07
PROD0102,Plant Pot Ultra,Home & Garden,Plant Pot,571.91,1324.98,253,3.1,2022-11-05
PROD0103,Bookshelf Basic,Home & Garden,Bookshelf,534.17,768.74,287,4.0,2023-05-29
PROD0104,Yoga Mat Basic,Sports,Yoga Mat,303.78,727.13,21,4.0,2023-07-07
PROD0105,Dumbbell Set Pro,Sports,Dumbbell Set,671.37,1798.04,294,2.7,2024-04-01
PROD0106,Running Shoes Ultra,Sports,Running Shoes,194.7,493.42,215,4.5,2024-01-21
PROD0107,Cycling Helmet Basic,Sports,Cycling Helmet,596.73,1192.74,436,3.7,2024-09-03
PROD0108,Tennis Racket Basic,Sports,Tennis Racket,420.6,1414.25,342,4.8,2021-12-02
PROD0109,Football Elite,Sports,Football,455.71,572.16,50,3.2,2022-10-03
PROD0110,Backpack Elite,Sports,Backpack,642.51,1848.39,183,4.5,2022-06-19
PROD0111,Water Bottle Elite,Sports,Water Bottle,285.14,975.42,228,4.5,2022-05-20
PROD0112,Moisturizer Elite,Beauty,Moisturizer,369.27,1284.78,393,4.5,2021-11-22
PROD0113,Perfume Elite,Beauty,Perfume,448.99,1430.49,379,3.5,2022-06-26
PROD0114,Lipstick Basic,Beauty,Lipstick,625.87,998.72,438,2.7,2022-07-01
PROD0115,Foundation Plus,Beauty,Foundation,495.04,1436.45,162,4.6,2021-06-07
PROD0116,Shampoo Basic,Beauty,Shampoo,731.77,1030.33,160,4.1,2023-09-21
PROD0117,Face Mask Elite,Beauty,Face Mask,153.02,318.31,438,4.3,2022-06-29
PROD0118,Eye Cream Elite,Beauty,Eye Cream,272.92,602.3,386,2.9,2021-09-19
PROD0119,Sunscreen Ultra,Beauty,Sunscreen,261.59,380.98,158,4.8,2023-12-24
PROD0120,Smartphone Ultra,Electronics,Smartphone,515.63,970.04,275,2.9,2023-08-19
PROD0121,Laptop Pro,Electronics,Laptop,558.03,924.56,364,4.0,2024-09-24
PROD0122,Tablet Plus,Electronics,Tablet,532.24,1681.92,366,3.4,2022-07-04
PROD0123,Headphones Pro,Electronics,Headphones,320.42,1063.44,432,4.9,2024-06-19
PROD0124,Smartwatch Ultra,Electronics,Smartwatch,701.79,2131.0,291,4.9,2022-05-19
PROD0125,Camera Pro,Electronics,Camera,799.55,1773.27,125,3.9,2023-11-03
PROD0126,Speaker Plus,Electronics,Speaker,794.18,1001.16,426,4.2,2021-12-07
PROD0127,Monitor Plus,Electronics,Monitor,200.05,343.97,74,2.5,2022-01-14
PROD0128,T-Shirt Basic,Clothing,T-Shirt,771.85,2448.56,429,3.6,2023-05-15
PROD0129,Jeans Basic,Clothing,Jeans,443.22,1110.97,95,4.6,2023-06-22
PROD0130,Jacket Basic,Clothing,Jacket,322.7,814.35,382,3.2,2024-05-22
PROD0131,Dress Elite,Clothing,Dress,785.62,2394.48,220,3.4,2024-10-30
PROD0132,Sneakers Ultra,Clothing,Sneakers,740.78,1288.83,182,2.7,2023-12-13
PROD0133,Boots Plus,Clothing,Boots,111.92,355.67,407,3.8,2021-07-20
PROD0134,Hoodie Ultra,Clothing,Hoodie,81.81,270.81,362,3.7,2022-05-02
PROD0135,Shorts Plus,Clothing,Shorts,88.32,273.83,368,3.4,2023-12-27
PROD0136,Sofa Plus,Home & Garden,Sofa,517.75,1281.1,238,3.2,2024-07-23
PROD0137,Lamp Basic,Home & Garden,Lamp,47.3,124.08,302,3.6,2021-09-24
PROD0138,Blender Pro,Home & Garden,Blender,22.58,50.39,458,3.4,2024-09-09
PROD0139,Coffee Maker Elite,Home & Garden,Coffee Maker,566.52,762.92,33,4.9,2022-03-05
PROD0140,Rug Pro,Home & Garden,Rug,457.95,1547.37,365,4.0,2022-11-01
PROD0141,Curtains Basic,Home & Garden,Curtains,564.85,1902.6,110,4.2,2022-04-27
PROD0142,Plant Pot Elite,Home & Garden,Plant Pot,433.02,1191.56,119,3.9,2024-09-22
PROD0143,Bookshelf Ultra,Home & Garden,Bookshelf,408.82,873.41,348,4.0,2024-09-02
PROD0144,Yoga Mat Elite,Sports,Yoga Mat,10.39,27.04,300,2.8,2021-04-21
PROD0145,Dumbbell Set Plus,Sports,Dumbbell Set,493.01,1192.33,375,3.0,2023-07-24
PROD0146,Running Shoes Plus,Sports,Running Shoes,620.12,2155.57,15,4.1,2023-02-08
PROD0147,Cycling Helmet Pro,Sports,Cycling Helmet,584.29,1147.03,484,3.5,2023-12-25
PROD0148,Tennis Racket Basic,Sports,Tennis Racket,759.48,1588.18,195,4.2,2021-08-04
PROD0149,Football Elite,Sports,Football,678.58,1099.89,181,2.9,2022-10-31
PROD0150,Backpack Plus,Sports,Backpack,703.86,1653.56,133,3.5,2021-12-19
